01.10.2025                                                   Salida dinámica de lista                                                                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Cl.|Aviso    |Fecha     |Descripción                             |Equipo   |Ubicac.técnica  |DurParada|Aut.aviso   |Por     |Orden     |Fin desead|Texto código p. codificación           |
|X  M2 |154930273|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930272|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930271|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.12 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930240|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930239|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930231|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.10 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930210|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930180|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.07 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930179|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930177|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.12 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930176|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930175|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930174|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930173|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930172|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930171|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930160|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930159|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930155|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.10 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930154|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930153|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.07 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929557|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927119|18.08.2025|FALLA CADENA MESA 90 1                  |57036    |SA-APR-LCT2     |    0.18 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927120|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927131|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.15 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927149|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927150|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927151|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154775812|17.06.2025|FALLA CADENA DE MESA 90 1               |57036    |SA-APR-LCT2     |    0.00 |APARFG      |APARFG  |          |18.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154787834|21.06.2025|FALLA EN CADENAS MESA 2 DE 90           |57036    |SA-APR-LCT2     |    0.18 |INTERFASEQNX|JUSORIA |          |22.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927378|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927379|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927517|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927518|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927519|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927520|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154787579|20.06.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.13 |INTERFASEQNX|JUSORIA |          |21.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927521|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927522|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927579|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927580|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927802|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927803|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154761429|11.06.2025|FALLA EN CADENAS MESA DE 90 TRAMO 2     |57036    |SA-APR-LCT2     |    0.00 |APARFG      |APARFG  |          |12.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154878226|28.07.2025|FALLA CADENA MES 90 2                   |57036    |SA-APR-LCT2     |    0.17 |INTERFASEQNX|APAPHC  |          |29.07.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154763764|11.06.2025|FALLA EN CADENAS MESA DE 90 TRAMO 2     |57036    |SA-APR-LCT2     |    0.20 |APARFG      |APARFG  |          |12.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154903269|07.08.2025|FALLA EN MESA DE CADENAS                |57036    |SA-APR-LCT2     |    0.25 |INTERFASEQNX|APARFG  |          |08.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154909077|08.08.2025|FALLA EN CADENA MESA DE 90 2            |57036    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APARFG  |          |09.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154763957|12.06.2025|FALLA CADENA MESA 90                    |57036    |SA-APR-LCT2     |    0.10 |APARFG      |APARFG  |          |13.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154767052|12.06.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.05 |APARFG      |APARFG  |          |13.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154767053|12.06.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.05 |APARFG      |APARFG  |          |13.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154917588|13.08.2025|FALLA MESA 1 DE SALIDA                  |57036    |SA-APR-LCT2     |    0.08 |INTERFASEQNX|APARFG  |          |14.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154767207|13.06.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.00 |APARFG      |APARFG  |          |14.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154922856|15.08.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.15 |INTERFASEQNX|APARFG  |          |16.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154807137|28.06.2025|FALLA EN RODILLOS MESA DE CADENAS TRAMO |57036    |SA-APR-LCT2     |    0.15 |INTERFASEQNX|APAPHC  |          |29.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154775591|17.06.2025|FALLA CADENA MESA 90 1                  |57036    |SA-APR-LCT2     |    0.13 |INTERFASEQNX|APAPHC  |          |18.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154775592|17.06.2025|FALLA CADENA MESA 90 1                  |57036    |SA-APR-LCT2     |    0.00 |APARFG      |APARFG  |          |18.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925466|15.08.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.60 |INTERFASEQNX|APARFG  |          |16.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925470|16.08.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.37 |INTERFASEQNX|APARFG  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925531|16.08.2025|FALLA CADENA MESA 90 2                  |57036    |SA-APR-LCT2     |    0.83 |INTERFASEQNX|APARFG  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925610|16.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925662|16.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925663|16.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925745|16.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154925747|16.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |17.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927804|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928846|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928999|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929000|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.07 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929011|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929012|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929013|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929014|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929078|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929079|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929080|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929111|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929112|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929113|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929243|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929244|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929245|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929246|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929247|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929400|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929421|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929550|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929552|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929553|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929554|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929555|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929556|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927805|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927806|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927940|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927961|18.08.2025|SE CORTA SOLO POR EL APILADOR 1         |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927962|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154927963|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928154|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928155|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928156|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928158|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928159|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928338|18.08.2025|SE CORTA SOLO POR APILADOR 1            |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928339|18.08.2025|SE CORTA SOLO POR APILADIOR 1           |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928650|18.08.2025|SE TRABAJA POR UN SOLO APILADOR         |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928701|18.08.2025|SE TRABAJA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928703|18.08.2025|SE EVACUA SOLO POR APILADOR 1           |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928704|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928840|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928841|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928842|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928844|18.08.2025|SE TRABAJA SOLO POR APILADOR            |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154928845|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APAPHC  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154796040|24.06.2025|FALLA GRUA 302 EN MEDIO DEL CAMBIO DE CA|57045    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |25.06.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154935529|21.08.2025|FALLA EN SENSOR RODILLOS MESA DE ZUNCHAD|57045    |SA-APR-LCT2     |    0.33 |INTERFASEQNX|C.GOSALV|          |22.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154403367|16.01.2025|SE APAGAN 2 MONITORES DE CAMARAS EN APIL|159007058|SA-APR-LCT2-CO46|    0.32 |INTERFASEQNX|APAPHC  |          |17.01.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154963615|01.09.2025|FALLA LUBRICACION DE AMPUESTAS          |159019740|SA-APR-LCT1     |    0.08 |INTERFASEQNX|JUSORIA |          |02.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154619404|13.04.2025|PROBLEMAS CON LUBRICACION DE AMPUESTA   |159019740|SA-APR-LCT1     |    0.53 |INTERFASEQNX|C.ROROM |          |14.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154422513|24.01.2025|FALLA EN ARRANQUE DE DRIVER APLANADORA  |159019740|SA-APR-LCT1     |    0.58 |INTERFASEQNX|C.ROROM |          |25.01.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
